ID,Name,Group,Calories,Fat,Protein,Carbohydrate,Sugars,Fiber,Saturated Fats,Calcium,"Iron, Fe","Potassium, K",Magnesium,Net-Carbs,PRAL score,Sucrose,Glucose (Dextrose),Fructose,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
170336,Taco Bell Nachos,Fast Foods,350,21.5,4.32,34.91,2.17,3.2,2.173,63,0.75,362,42,31.71,-0.119,0.53,0,0,14020,5040
170379,Broccoli,Vegetables,34,0.37,2.82,6.64,1.7,2.6,0.114,47,0.73,316,21,4.04,-4.007,0.1,0.49,0.68,31,112
170457,Tomatoes,Vegetables,18,0.2,0.88,3.89,2.63,1.2,0.028,10,0.27,237,11,2.69,-4.101,0,1.25,1.37,31,83
170564,Seeds Sunflower Seed Kernels Oil Roasted Without Salt,Nuts and Seeds,592,51.3,20.06,22.89,3.11,10.6,7.068,87,4.28,483,127,12.29,37.31,2.37,0.74,0,8063,34294
170567,Almonds,Nuts and Seeds,579,49.93,21.15,21.55,4.35,12.5,3.802,269,3.71,733,270,9.05,2.096,3.95,0.17,0.11,31551,12329
170569,Brazilnuts,Nuts and Seeds,659,67.1,14.32,11.74,2.33,7.5,16.134,160,2.43,659,376,4.24,7.968,2.33,0,0,23879,24399
170577,Nuts Coconut Meat Dried (Desiccated) Sweetened Flaked Packaged,Nuts and Seeds,456,27.99,3.13,51.85,36.75,9.9,26.396,11,1.51,361,51,41.95,-3.868,36.21,0.53,0.01,1377,222
170581,Hazelnuts,Nuts and Seeds,628,60.75,14.95,16.7,4.34,9.7,4.464,114,4.7,680,163,7,-2.061,4.2,0.07,0.07,45652,7920
170591,Pine Nuts (Dried),Nuts and Seeds,673,68.37,13.69,13.08,3.59,3.7,4.899,16,5.53,597,251,9.38,8.577,3.45,0.07,0.07,18764,34071
170681,Syrup Nestle Chocolate,Sweets,269,0,0,67.21,60,0,0,0,0,122,40,67.21,-1.48,59.86,0,0,0,0
170686,Roasted Buckwheat Groats,Grains and Pasta,92,0.62,3.38,19.94,0.9,2.7,0.134,7,0.8,88,51,17.24,0.957,0.4,0.2,0.1,188,188
170721,McDonalds French Fries,Fast Foods,323,15.47,3.41,42.58,0.21,3.9,2.271,19,0.8,596,37,38.68,-7.426,0.21,0,0,7379,4727
170845,Mozzarella,Dairy and Egg Products,299,22.14,22.17,2.4,0,0,13.9,505,0.44,76,20,2.4,15.267,0,0,0,6573,765
170859,Heavy Whipping Cream,Dairy and Egg Products,340,36.08,2.84,2.84,2.92,0,23.032,66,0.1,95,7,2.84,0.491,0,0,0,9101,1570
170894,Nonfat Greek Yogurt,Dairy and Egg Products,59,0.39,10.19,3.6,3.24,0,0.117,110,0.07,141,11,3.6,5.294,0,0,0,53,12
